V/V /V1; xf dB20(V/V) X,V/V /V1; xf dB20(V/V) Y
10,-86.0934784688279
15.13561248436208,-85.95919050018441
22.90867652767773,-85.66636006218529
34.67368504525317,-85.06174944351162
52.48074602497726,-83.92993125873807
79.43282347242815,-82.09561261805754
120.2264434617413,-79.56897598693885
181.9700858609984,-76.53594572459693
275.4228703338167,-73.20870757028943
416.8693834703354,-69.73336319721452
630.9573444801933,-66.18892026553934
954.9925860214361,-62.6133978693997
1445.439770745928,-59.02412944335774
2187.761623949553,-55.42882985146645
3311.311214825912,-51.83090062091029
5011.872336272724,-48.23184465620198
7585.77575029184,-44.63234799415544
11481.53621496883,-41.03277662296865
17378.00828749376,-37.43344224410255
26302.67991895383,-33.83482873736313
39810.71705534974,-30.23794315850972
60255.9586074358,-26.6450432604799
91201.08393559101,-23.0612536914849
138038.4264602886,-19.49815854419841
208929.6130854041,-15.98153858317443
316227.7660168381,-12.56673238753276
478630.0923226387,-9.36343249308846
724435.9600749905,-6.555371965309894
1096478.196143186,-4.360745503761544
1659586.907437562,-2.893775613220163
2511886.431509582,-2.062506028848529
3801893.963205615,-1.65891027121108
5754399.373371573,-1.508168208710224
8709635.899560813,-1.527655365689007
13182567.38556408,-1.728658704112328
19952623.14968881,-2.217256178387762
30199517.20402019,-3.18563721290632
45708818.96148755,-4.829234805716758
69183097.09189372,-7.191192899870574
104712854.8050901,-10.1168482022527
158489319.2461115,-13.38483507990042
239883291.9019493,-16.82545582303349
363078054.7701017,-20.33770904684183
549540873.8576251,-23.86556199788238
831763771.1026719,-27.38315564203118
1258925411.794168,-30.85261733908958
1905460717.963249,-34.17669405890779
2884031503.126609,-37.20423427635637
4365158322.401665,-39.73388526117573
6606934480.075968,-41.5911594635114
10000000000,-42.75825922636295
