V/V /V1; xf dB20(V/V) X,V/V /V1; xf dB20(V/V) Y
10,-97.96634221879499
15.13561248436208,-96.28151633066815
22.90867652767773,-93.88444320644834
34.67368504525317,-90.93598596420352
52.48074602497726,-87.65421633570733
79.43282347242815,-84.20079083841679
120.2264434617413,-80.66635734581554
181.9700858609984,-77.09529150284254
275.4228703338167,-73.50798247810064
416.8693834703354,-69.91353409008293
630.9573444801933,-66.31596003088036
954.9925860214361,-62.71702021367886
1445.439770745928,-59.11748490562775
2187.761623949553,-55.51769194583648
3311.311214825912,-51.91779189948726
5011.872336272724,-48.3178574649321
7585.77575029184,-44.71793633167771
11481.53621496883,-41.11808586304505
17378.00828749376,-37.51841481082501
26302.67991895383,-33.9191623684647
39810.71705534974,-30.32087188930099
60255.9586074358,-26.72478471279473
91201.08393559101,-23.13373576821336
138038.4264602886,-19.55417746029243
208929.6130854041,-16.00067558860086
316227.7660168381,-12.50550285627383
478630.0923226387,-9.137246248712929
724435.9600749905,-6.029107756966399
1096478.196143186,-3.396194385406369
1659586.907437562,-1.483030530394168
2511886.431509582,-0.4332152108449487
3801893.963205615,-0.2517485377732308
5754399.373371573,-0.9289191017717247
8709635.899560813,-2.483082394909255
13182567.38556408,-4.837065744221683
19952623.14968881,-7.773212878350665
30199517.20402019,-11.05111686036036
45708818.96148755,-14.50210679250752
69183097.09189372,-18.0324795085586
104712854.8050901,-21.59246183990897
158489319.2461115,-25.14850036920319
239883291.9019493,-28.66273070404253
363078054.7701017,-32.07053228568208
549540873.8576251,-35.27379416300931
831763771.1026719,-38.1541125135857
1258925411.794168,-40.49615761107162
1905460717.963249,-42.10563298528301
2884031503.126609,-43.05310613455561
4365158322.401665,-43.55940562043681
6606934480.075968,-43.81990025007363
10000000000,-43.95080873513065
