V/V /V1; xf dB20(V/V) X,V/V /V1; xf dB20(V/V) Y
10,-85.28982313373268
15.13561248436208,-85.2799554440474
22.90867652767773,-85.25743403058975
34.67368504525317,-85.20627648785805
52.48074602497726,-85.09130424213427
79.43282347242815,-84.83885533417002
120.2264434617413,-84.31049938802065
181.9700858609984,-83.29847038106413
275.4228703338167,-81.60701839451517
416.8693834703354,-79.20402366453604
630.9573444801933,-76.25160921780478
954.9925860214361,-72.96768163889267
1445.439770745928,-69.51320835799282
2187.761623949553,-65.97829518514325
3311.311214825912,-62.40701653133797
5011.872336272724,-58.81961639924189
7585.77575029184,-55.22513422023643
11481.53621496883,-51.62755947027826
17378.00828749376,-48.02865162935135
26302.67991895383,-44.42920423560318
39810.71705534974,-40.82961907134604
60255.9586074358,-37.23019781390817
91201.08393559101,-33.6313612392811
138038.4264602886,-30.03395462877431
208929.6130854041,-26.43985926736039
316227.7660168381,-22.85334340120017
478630.0923226387,-19.28407620284928
724435.9600749905,-15.75369597698788
1096478.196143186,-12.30923406150213
1659586.907437562,-9.046511239870798
2511886.431509582,-6.135674192021311
3801893.963205615,-3.805736647432314
5754399.373371573,-2.232697182449954
8709635.899560813,-1.420401356903648
13182567.38556408,-1.267169700389001
19952623.14968881,-1.740545503407321
30199517.20402019,-2.926340382187959
45708818.96148755,-4.89291275844031
69183097.09189372,-7.537045143453973
104712854.8050901,-10.6258894552095
158489319.2461115,-13.94946423577647
239883291.9019493,-17.38723101162471
363078054.7701017,-20.88282461745475
549540873.8576251,-24.40539481786474
831763771.1026719,-27.91729233772136
1258925411.794168,-31.35906495076737
1905460717.963249,-34.65326301598645
2884031503.126609,-37.6638088972056
4365158322.401665,-40.18077183083578
6606934480.075968,-42.01411943549282
10000000000,-43.14821063819241
