V/V /V1; xf dB20(V/V) X,V/V /V1; xf dB20(V/V) Y
10,-100.8203525226526
15.13561248436208,-100.4912716327316
22.90867652767773,-99.8199163424988
34.67368504525317,-98.58754324821901
52.48074602497726,-96.63970181107054
79.43282347242815,-94.02002648211301
120.2264434617413,-90.92876726919093
181.9700858609984,-87.57100252278262
275.4228703338167,-84.081131143086
416.8693834703354,-80.53009369811613
630.9573444801933,-76.95164092155662
954.9925860214361,-73.36108023646599
1445.439770745928,-69.76520706171391
2187.761623949553,-66.16700965606807
3311.311214825912,-62.56779661323488
5011.872336272724,-58.96813986002061
7585.77575029184,-55.36828897451685
11481.53621496883,-51.76835240226203
17378.00828749376,-48.16837627626305
26302.67991895383,-44.56837796207153
39810.71705534974,-40.9683586891923
60255.9586074358,-37.36830445667918
91201.08393559101,-33.76817591037019
138038.4264602886,-30.16788003948974
208929.6130854041,-26.56720421356103
316227.7660168381,-22.96567040215551
478630.0923226387,-19.36223416833471
724435.9600749905,-15.75477103636913
1096478.196143186,-12.13983327551157
1659586.907437562,-8.517078315193029
2511886.431509582,-4.925917409904965
3801893.963205615,-1.653557260364297
5754399.373371573,0.1132135015952873
8709635.899560813,-1.091706020927809
13182567.38556408,-4.191239283425275
19952623.14968881,-7.758101723329841
30199517.20402019,-11.38356100970389
45708818.96148755,-15.00274539643891
69183097.09189372,-18.60502042419728
104712854.8050901,-22.17725011072597
158489319.2461115,-25.70269369820123
239883291.9019493,-29.16401279341743
363078054.7701017,-32.52682194038804
549540873.8576251,-35.70598190338168
831763771.1026719,-38.52206654380269
1258925411.794168,-40.77025540140316
1905460717.963249,-42.36503987650592
2884031503.126609,-43.35507371213127
4365158322.401665,-43.89384287055677
6606934480.075968,-44.15893499228587
10000000000,-44.28164030776391
